completeness_tier,evidence_family,models_with_targets,object_rule_targets,observed_pass_rate,bootstrap_p05,bootstrap_p50,bootstrap_p95
complete-ish,information_continuity,2,11914,0.9755749538358234,0.9613443145589798,0.9755749538358234,1.0
complete-ish,material_product_evidence,2,2823,0.8593694651080411,0.8119614799797263,0.8593694651080411,0.9694117647058823
complete-ish,regulatory_attributes,2,2616,0.34327217125382264,0.16970052847915443,0.34327217125382264,0.6670317634173056
complete-ish,semantic_definition,2,5903,0.4682364899203795,0.1548196015078083,0.4682364899203795,1.0
complete-ish,spatial_project_context,2,6030,0.9109452736318407,0.7995485327313769,0.9109452736318407,0.9756225425950197
sample-fragment,information_continuity,18,1486,1.0,1.0,1.0,1.0
sample-fragment,material_product_evidence,7,114,1.0,1.0,1.0,1.0
sample-fragment,regulatory_attributes,6,28,0.07142857142857142,0.0,0.07142857142857142,0.1875
sample-fragment,semantic_definition,18,741,0.9757085020242915,0.9637482405483492,0.9758652932340047,0.9877972298011093
sample-fragment,spatial_project_context,18,825,0.8787878787878788,0.8270662954585001,0.8791486749640166,0.9116043441365893
test-fragment,information_continuity,275,747,0.5809906291834003,0.5541808083379294,0.579787770528875,0.6116394451772794
test-fragment,material_product_evidence,249,318,0.10062893081761007,0.06989438651841022,0.09969317935831193,0.1325362675190558
test-fragment,regulatory_attributes,245,258,0.03488372093023256,0.00787247182337502,0.03474903474903475,0.0714420485175202
test-fragment,semantic_definition,275,368,0.12228260869565218,0.07546155406776223,0.11618279487611147,0.17839728329365634
test-fragment,spatial_project_context,275,383,0.12532637075718014,0.07464212454212454,0.11963686319094798,0.1881432125088841
