model,source_repository,schema,model_type,completeness_tier,applicable_rules,target_count,pass_count,model_readiness_index
fail-an-entity-not-matching-a-specified-predefined-type--ab83a0dd,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-an-enumeration-matches-case-sensitively-3-3-f2293b9b,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-an-enumeration-matches-case-sensitively-4-3-d1edc486,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-an-optional-attribute-fails-if-empty-cd8b975d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-an-optional-classification-value-fails-if-no-match-d53ce3e0,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-an-optional-material-fails-if-no-value-matches-11eb2d09,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-any-contained-element-passes-a-containment-relation-8a19ec40,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,7,1,0.14285714285714285
fail-any-matching-value-in-a-bounded-property-will-pass--592b4614,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-any-matching-value-in-a-list-property-will-pass-3-3-fac74f9e,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-any-matching-value-in-a-table-property-will-pass-3--f1441267,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-any-nested-whole-fails-a-nest-relationship-063aed0e,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,4,8,2,0.25
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-attributes-should-check-strings-case-sensitively-2--787c6062,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,12,2,0.16666666666666666
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
