model,schema,source_repository,model_type,completeness_tier,rule_id,ids_representable,target_count,ifctester_pass_count,ifctester_pass_rate
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R01_GLOBAL_ID,True,2189,2189,1.0
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R02_OBJECT_NAME,True,2197,2197,1.0
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R03_TYPE_OR_OBJECTTYPE,True,2189,2189,1.0
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R04_SPATIAL_CONTAINMENT,False,2197,0,
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R05_MATERIAL_AVAILABLE,True,850,824,0.9694117647058823
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R06_DOOR_CLEAR_WIDTH,True,126,126,1.0
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R07_WINDOW_DIMENSIONS,True,263,263,1.0
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R08_SPACE_AREA,True,8,8,1.0
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R09_FIRE_RATING,True,516,250,0.4844961240310077
AdvancedProject-40ecb9ba,IFC2X3,BIM Whale IFC samples,architecture,complete-ish,R10_SITE_GEOREFERENCE,False,18,0,
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R01_GLOBAL_ID,True,3714,3714,1.0
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R02_OBJECT_NAME,True,3814,3523,0.9237021499737809
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R03_TYPE_OR_OBJECTTYPE,True,3714,197,0.053042541733979535
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R04_SPATIAL_CONTAINMENT,False,3814,0,
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R05_MATERIAL_AVAILABLE,True,1973,1602,0.8119614799797263
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R06_DOOR_CLEAR_WIDTH,True,205,104,0.5073170731707317
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R07_WINDOW_DIMENSIONS,True,259,67,0.25868725868725867
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R08_SPACE_AREA,True,100,100,1.0
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R09_FIRE_RATING,True,1139,15,0.013169446883230905
project-and-site-233f0ac5,IFC2X3,buildingSMART IDS repository,test-fragment,complete-ish,R10_SITE_GEOREFERENCE,False,1,0,
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R01_GLOBAL_ID,True,12,12,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R02_OBJECT_NAME,True,12,12,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,12,12,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R04_SPATIAL_CONTAINMENT,False,12,0,
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R05_MATERIAL_AVAILABLE,True,3,3,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R06_DOOR_CLEAR_WIDTH,True,1,1,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R07_WINDOW_DIMENSIONS,True,2,2,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R08_SPACE_AREA,True,0,0,
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R09_FIRE_RATING,True,1,1,1.0
IDS-wooden-windows-IFC-0170197e,IFC2X3,buildingSMART IDS repository,ids-example,test-fragment,R10_SITE_GEOREFERENCE,False,1,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,1,1,1.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,1,1,1.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,1,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,1,0,0.0
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-e336f44c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,1,1,1.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,1,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,1,0,0.0
fail-an-optional-attribute-fails-if-empty-cd8b975d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,1,1,1.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,1,0,
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,1,0,0.0
fail-attributes-are-not-inherited-by-the-occurrence-7665b97c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,1,1,1.0
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,1,1,1.0
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,1,0,0.0
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,1,0,
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,1,0,0.0
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
