model,schema,source_repository,model_type,completeness_tier,rule_id,ids_representable,target_count,ifctester_pass_count,ifctester_pass_rate
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,1,0,0.0
fail-attributes-should-check-strings-case-sensitively-2--787c6062,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,0,0,
fail-attributes-with-a-logical-unknown-always-fail-297fde45,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,2,2,1.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,2,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,1,1,1.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,1,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,1,1,1.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,1,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R05_MATERIAL_AVAILABLE,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R06_DOOR_CLEAR_WIDTH,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R07_WINDOW_DIMENSIONS,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R08_SPACE_AREA,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R09_FIRE_RATING,True,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R10_SITE_GEOREFERENCE,False,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R01_GLOBAL_ID,True,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R02_OBJECT_NAME,True,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R03_TYPE_OR_OBJECTTYPE,True,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,IFC4,buildingSMART IDS repository,ids-validator-testcase,test-fragment,R04_SPATIAL_CONTAINMENT,False,0,0,
