ids_file,n_specifications,n_facets,facet_entity,facet_attribute,facet_property,facet_classification,facet_material,facet_partOf
IDS_aachen_example.ids,1,2,1,1,0,0,0,0
IDS_Aedes_example.ids,1,2,1,0,0,1,0,0
IDS_ArcDox.ids,5,21,5,12,4,0,0,0
IDS_demo_BIM-basis-ILS.ids,3,8,4,3,0,1,0,0
IDS_oma_input.ids,13,101,13,17,71,0,0,0
IDS_oma_output.ids,1,8,1,0,7,0,0,0
IDS_random_example.ids,2,7,2,0,3,1,1,0
IDS_SimpleBIM_examples.ids,2,7,2,1,3,1,0,0
IDS_StructuralSafety.ids,1,4,1,0,1,0,2,0
IDS_ucms_prefab_pipes_IFC2x3.ids,2,16,2,0,14,0,0,0
IDS_ucms_prefab_pipes_IFC4.3.ids,1,9,1,0,8,0,0,0
IDS_wooden-windows.ids,6,41,12,0,19,1,3,6
