rule_id,route_id,target_class,ids_representable
R01_GLOBAL_ID,attribute_GlobalId,IFCAIRTERMINAL,True
R01_GLOBAL_ID,attribute_GlobalId,IFCBEAM,True
R01_GLOBAL_ID,attribute_GlobalId,IFCBUILDINGELEMENTPART,True
R01_GLOBAL_ID,attribute_GlobalId,IFCBUILDINGELEMENTPROXY,True
R01_GLOBAL_ID,attribute_GlobalId,IFCCHIMNEY,True
R01_GLOBAL_ID,attribute_GlobalId,IFCCOLUMN,True
R01_GLOBAL_ID,attribute_GlobalId,IFCCOURSE,True
R01_GLOBAL_ID,attribute_GlobalId,IFCCOVERING,True
R01_GLOBAL_ID,attribute_GlobalId,IFCDISCRETEACCESSORY,True
R01_GLOBAL_ID,attribute_GlobalId,IFCDISTRIBUTIONELEMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCDOOR,True
R01_GLOBAL_ID,attribute_GlobalId,IFCDUCTSEGMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCEARTHWORKSFILL,True
R01_GLOBAL_ID,attribute_GlobalId,IFCELEMENTASSEMBLY,True
R01_GLOBAL_ID,attribute_GlobalId,IFCFLOWSEGMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCFLOWTERMINAL,True
R01_GLOBAL_ID,attribute_GlobalId,IFCFOOTING,True
R01_GLOBAL_ID,attribute_GlobalId,IFCFURNISHINGELEMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCFURNITURE,True
R01_GLOBAL_ID,attribute_GlobalId,IFCGEOGRAPHICELEMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCMECHANICALFASTENER,True
R01_GLOBAL_ID,attribute_GlobalId,IFCMEMBER,True
R01_GLOBAL_ID,attribute_GlobalId,IFCOPENINGELEMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCPIPESEGMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCPLATE,True
R01_GLOBAL_ID,attribute_GlobalId,IFCRAIL,True
R01_GLOBAL_ID,attribute_GlobalId,IFCRAILING,True
R01_GLOBAL_ID,attribute_GlobalId,IFCRAMP,True
R01_GLOBAL_ID,attribute_GlobalId,IFCRAMPFLIGHT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCROOF,True
R01_GLOBAL_ID,attribute_GlobalId,IFCSANITARYTERMINAL,True
R01_GLOBAL_ID,attribute_GlobalId,IFCSIGN,True
R01_GLOBAL_ID,attribute_GlobalId,IFCSLAB,True
R01_GLOBAL_ID,attribute_GlobalId,IFCSTAIR,True
R01_GLOBAL_ID,attribute_GlobalId,IFCSTAIRFLIGHT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCSURFACEFEATURE,True
R01_GLOBAL_ID,attribute_GlobalId,IFCTRACKELEMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCVIRTUALELEMENT,True
R01_GLOBAL_ID,attribute_GlobalId,IFCWALL,True
R01_GLOBAL_ID,attribute_GlobalId,IFCWALLSTANDARDCASE,True
R01_GLOBAL_ID,attribute_GlobalId,IFCWINDOW,True
R02_OBJECT_NAME,attribute_Name,IFCAIRTERMINAL,True
R02_OBJECT_NAME,attribute_Name,IFCBEAM,True
R02_OBJECT_NAME,attribute_Name,IFCBUILDINGELEMENTPART,True
R02_OBJECT_NAME,attribute_Name,IFCBUILDINGELEMENTPROXY,True
R02_OBJECT_NAME,attribute_Name,IFCCHIMNEY,True
R02_OBJECT_NAME,attribute_Name,IFCCOLUMN,True
R02_OBJECT_NAME,attribute_Name,IFCCOURSE,True
R02_OBJECT_NAME,attribute_Name,IFCCOVERING,True
R02_OBJECT_NAME,attribute_Name,IFCDISCRETEACCESSORY,True
R02_OBJECT_NAME,attribute_Name,IFCDISTRIBUTIONELEMENT,True
R02_OBJECT_NAME,attribute_Name,IFCDOOR,True
R02_OBJECT_NAME,attribute_Name,IFCDUCTSEGMENT,True
R02_OBJECT_NAME,attribute_Name,IFCEARTHWORKSFILL,True
R02_OBJECT_NAME,attribute_Name,IFCELEMENTASSEMBLY,True
R02_OBJECT_NAME,attribute_Name,IFCFLOWSEGMENT,True
R02_OBJECT_NAME,attribute_Name,IFCFLOWTERMINAL,True
R02_OBJECT_NAME,attribute_Name,IFCFOOTING,True
R02_OBJECT_NAME,attribute_Name,IFCFURNISHINGELEMENT,True
R02_OBJECT_NAME,attribute_Name,IFCFURNITURE,True
R02_OBJECT_NAME,attribute_Name,IFCGEOGRAPHICELEMENT,True
R02_OBJECT_NAME,attribute_Name,IFCMECHANICALFASTENER,True
R02_OBJECT_NAME,attribute_Name,IFCMEMBER,True
R02_OBJECT_NAME,attribute_Name,IFCOPENINGELEMENT,True
R02_OBJECT_NAME,attribute_Name,IFCPIPESEGMENT,True
R02_OBJECT_NAME,attribute_Name,IFCPLATE,True
R02_OBJECT_NAME,attribute_Name,IFCRAIL,True
R02_OBJECT_NAME,attribute_Name,IFCRAILING,True
R02_OBJECT_NAME,attribute_Name,IFCRAMP,True
R02_OBJECT_NAME,attribute_Name,IFCRAMPFLIGHT,True
R02_OBJECT_NAME,attribute_Name,IFCROOF,True
R02_OBJECT_NAME,attribute_Name,IFCSANITARYTERMINAL,True
R02_OBJECT_NAME,attribute_Name,IFCSIGN,True
R02_OBJECT_NAME,attribute_Name,IFCSLAB,True
R02_OBJECT_NAME,attribute_Name,IFCSPACE,True
R02_OBJECT_NAME,attribute_Name,IFCSTAIR,True
R02_OBJECT_NAME,attribute_Name,IFCSTAIRFLIGHT,True
R02_OBJECT_NAME,attribute_Name,IFCSURFACEFEATURE,True
R02_OBJECT_NAME,attribute_Name,IFCTRACKELEMENT,True
R02_OBJECT_NAME,attribute_Name,IFCVIRTUALELEMENT,True
R02_OBJECT_NAME,attribute_Name,IFCWALL,True
R02_OBJECT_NAME,attribute_Name,IFCWALLSTANDARDCASE,True
R02_OBJECT_NAME,attribute_Name,IFCWINDOW,True
R03_TYPE_OR_OBJECTTYPE,attribute_ObjectType,IFCAIRTERMINAL,True
R03_TYPE_OR_OBJECTTYPE,attribute_ObjectType,IFCBEAM,True
