rule_id,compared_objects,both_pass,both_fail,rb_only_pass,ids_only_pass,agreement_rate
R01_GLOBAL_ID,7012,7012,0,0,0,1.0
R02_OBJECT_NAME,7135,6531,604,0,0,1.0
R03_TYPE_OR_OBJECTTYPE,7012,3111,3480,421,0,0.9399600684540788
R05_MATERIAL_AVAILABLE,3255,2572,683,0,0,1.0
R06_DOOR_CLEAR_WIDTH,334,181,103,0,50,0.8502994011976048
R07_WINDOW_DIMENSIONS,525,333,192,0,0,1.0
R08_SPACE_AREA,123,108,13,2,0,0.983739837398374
R09_FIRE_RATING,1920,269,1635,16,0,0.9916666666666667
